,,Grouped by malnutrition,Grouped by malnutrition,Grouped by malnutrition,Grouped by malnutrition,Grouped by malnutrition
,,Missing,Overall,Malnourished,Not malnourished,P-Value
n,,,50354,15947,34407,
Age (years),,0,"83.0 [76.0,89.0]","85.0 [78.0,90.0]","82.0 [75.0,89.0]",<0.001
LOS — acute ward (days),,956,"7.0 [5.0,11.0]","7.0 [5.0,11.0]","7.0 [5.0,11.0]",0.883
LOS — hospital (days),,3988,"13.0 [6.0,29.0]","13.0 [6.0,29.0]","13.0 [6.0,29.0]",0.270
Sex,Female,,33379 (66.3),10503 (65.9),22876 (66.5),0.555
Sex,Intersex/indeterminate,,3 (0.0),1 (0.0),2 (0.0),
Sex,Male,,16947 (33.7),5434 (34.1),11513 (33.5),
Sex,None,,25 (0.0),9 (0.1),16 (0.0),
Usual residence,Aged care facility,,12646 (25.1),5344 (33.5),7302 (21.2),<0.001
Usual residence,None,,141 (0.3),44 (0.3),97 (0.3),
Usual residence,Other,,219 (0.4),66 (0.4),153 (0.4),
Usual residence,Private residence,,37348 (74.2),10493 (65.8),26855 (78.1),
Patient type,None,,734 (1.5),183 (1.1),551 (1.6),<0.001
Patient type,Overseas,,406 (0.8),116 (0.7),290 (0.8),
Patient type,Private,,10187 (20.2),2988 (18.7),7199 (20.9),
Patient type,Public,,39027 (77.5),12660 (79.4),26367 (76.6),
ED admission type,ED,,41732 (82.9),13165 (82.6),28567 (83.0),<0.001
ED admission type,In-patient fall,,822 (1.6),327 (2.1),495 (1.4),
ED admission type,None,,410 (0.8),107 (0.7),303 (0.9),
ED admission type,Transfer direct to ward,,1142 (2.3),394 (2.5),748 (2.2),
ED admission type,Transfer via ED,,6248 (12.4),1954 (12.3),4294 (12.5),
Ward type,HDU/ICU/CCU,,541 (1.1),188 (1.2),353 (1.0),0.006
Ward type,None,,802 (1.6),264 (1.7),538 (1.6),
Ward type,Orthopaedic/preferred,,44919 (89.2),14114 (88.5),30805 (89.5),
Ward type,Outlying,,4092 (8.1),1381 (8.7),2711 (7.9),
